,name_2,root_1,pitch_class_smaller,cents_diff,matched_pitch_class,n_edo
10,just diatonic,B,A,3.910001730774752,A,12
0,just diatonic,C,C,0.0,C,13
2,just diatonic,C,D,-19.294617115390434,D,13
4,just diatonic,C,E,-17.08294463406585,E,13
5,just diatonic,C,F,-36.50653759615082,F,13
8,just diatonic,C,G,36.506537596151034,G,13
10,just diatonic,C,A,38.71821007747567,A,13
12,just diatonic,C,B,19.42359296208574,B,13
0,just diatonic,D,D,0.0,D,13
2,just diatonic,D,E,2.211672481324351,E,13
3,just diatonic,D,F,-17.211920480760636,F,13
5,just diatonic,D,G,-36.50653759615102,G,13
7,just diatonic,D,A,-34.29486511482638,A,13
10,just diatonic,D,B,38.71821007747567,B,13
11,just diatonic,D,C,19.294617115390093,C,13
0,just diatonic,E,E,0.0,E,13
1,just diatonic,E,F,-19.42359296208528,F,13
3,just diatonic,E,G,-38.718210077475696,G,13
5,just diatonic,E,A,-36.50653759615102,G#,13
8,just diatonic,E,B,36.506537596151034,B,13
9,just diatonic,E,C,17.082944634065832,C,13
11,just diatonic,E,D,-2.2116724813245576,D,13
0,just diatonic,F,F,0.0,F,13
2,just diatonic,F,G,-19.29461711539063,G,13
4,just diatonic,F,A,-17.082944634066045,A,13
6,just diatonic,F,B,-36.37756174945586,B,13
8,just diatonic,F,C,36.50653759615066,C,13
10,just diatonic,F,D,17.211920480760515,D,13
12,just diatonic,F,E,19.42359296208536,E,13
0,just diatonic,G,G,0.0,G,13
2,just diatonic,G,A,2.211672481324351,A,13
4,just diatonic,G,B,-17.082944634065463,B,13
5,just diatonic,G,C,-36.50653759615102,C,13
8,just diatonic,G,D,36.506537596151034,D,13
10,just diatonic,G,E,38.71821007747567,E,13
11,just diatonic,G,F,19.294617115390093,F,13
0,just diatonic,A,A,0.0,A,13
2,just diatonic,A,B,-19.29461711539024,B,13
3,just diatonic,A,C,-38.718210077475696,C,13
6,just diatonic,A,D,34.29486511482648,D,13
8,just diatonic,A,E,36.506537596151034,E,13
9,just diatonic,A,F,17.082944634065832,F,13
11,just diatonic,A,G,-2.2116724813245576,G,13
0,just diatonic,B,B,0.0,B,13
1,just diatonic,B,C,-19.42359296208528,C,13
3,just diatonic,B,D,-38.71821007747588,D,13
5,just diatonic,B,E,-36.50653759615141,D#,13
7,just diatonic,B,F,36.37756174945571,F,13
9,just diatonic,B,G,17.08294463406545,G,13
11,just diatonic,B,A,19.294617115390093,A,13
0,just diatonic,C,C,0.0,C,14
2,just diatonic,C,D,-32.481430302203606,D,14
5,just diatonic,C,E,42.25771470659343,E,14
6,just diatonic,C,F,16.240715151101934,F,14
8,just diatonic,C,G,-16.240715151101515,G,14
10,just diatonic,C,A,-27.215855856590313,A,14
13,just diatonic,C,B,26.01699955549184,B,14
0,just diatonic,D,D,0.0,D,14
2,just diatonic,D,E,-10.975140705488768,E,14
3,just diatonic,D,F,-36.99214026098051,F,14
6,just diatonic,D,G,16.24071515110155,G,14
8,just diatonic,D,A,5.265574445613126,A,14
10,just diatonic,D,B,-27.215855856590114,B,14
12,just diatonic,D,C,32.481430302203556,C,14
0,just diatonic,E,E,0.0,E,14
1,just diatonic,E,F,-26.016999555491584,F,14
4,just diatonic,E,G,27.215855856590174,G,14
6,just diatonic,E,A,16.24071515110155,A,14
8,just diatonic,E,B,-16.240715151101515,B,14
9,just diatonic,E,C,-42.25771470659349,C,14
12,just diatonic,E,D,10.975140705488421,D,14
0,just diatonic,F,F,0.0,F,14
2,just diatonic,F,G,-32.481430302203606,G,14
5,just diatonic,F,A,42.25771470659343,A,14
7,just diatonic,F,B,9.776284404390458,B,14
8,just diatonic,F,C,-16.240715151101902,C,14
11,just diatonic,F,D,36.99214026098014,D,14
13,just diatonic,F,E,26.016999555491463,E,14
0,just diatonic,G,G,0.0,G,14
2,just diatonic,G,A,-10.975140705488768,A,14
5,just diatonic,G,B,42.2577147065938,B,14
6,just diatonic,G,C,16.24071515110155,C,14
8,just diatonic,G,D,-16.240715151101707,D,14
10,just diatonic,G,E,-27.215855856590313,E,14
12,just diatonic,G,F,32.481430302203556,F,14
0,just diatonic,A,A,0.0,A,14
2,just diatonic,A,B,-32.481430302203414,B,14
4,just diatonic,A,C,27.215855856590174,C,14
6,just diatonic,A,D,-5.265574445612954,D,14
8,just diatonic,A,E,-16.240715151101902,E,14
9,just diatonic,A,F,-42.25771470659329,F,14
12,just diatonic,A,G,10.975140705488421,G,14
0,just diatonic,B,B,0.0,B,14
1,just diatonic,B,C,-26.01699955549197,C,14
4,just diatonic,B,D,27.215855856590174,D,14
6,just diatonic,B,E,16.24071515110155,E,14
7,just diatonic,B,F,-9.776284404390282,F,14
9,just diatonic,B,G,-42.25771470659368,G,14
12,just diatonic,B,A,32.48143030220318,A,14
0,just diatonic,C,C,0.0,C,15
3,just diatonic,C,D,36.08999826922522,D,15
5,just diatonic,C,E,13.686286135165219,E,15
6,just diatonic,C,F,-18.044999134612468,F,15
9,just diatonic,C,G,18.044999134612222,G,15
11,just diatonic,C,A,-4.358712999447557,A,15
14,just diatonic,C,B,31.731285269777906,B,15
0,just diatonic,D,D,0.0,D,15
2,just diatonic,D,E,-22.403712134059937,E,15
4,just diatonic,D,F,25.865002596162498,F,15
6,just diatonic,D,G,-18.044999134612468,G,15
9,just diatonic,D,A,39.55128873132722,A,15
11,just diatonic,D,B,-4.358712999447173,B,15
12,just diatonic,D,C,-36.08999826922519,C,15
0,just diatonic,E,E,0.0,E,15
1,just diatonic,E,F,-31.73128526977743,F,15
4,just diatonic,E,G,4.35871299944751,G,15
6,just diatonic,E,A,-18.044999134612663,A,15
9,just diatonic,E,B,18.044999134612603,B,15
10,just diatonic,E,C,-13.686286135165112,C,15
13,just diatonic,E,D,22.403712134060225,D,15
0,just diatonic,F,F,0.0,F,15
3,just diatonic,F,G,36.08999826922522,G,15
5,just diatonic,F,A,13.686286135164837,A,15
7,just diatonic,F,B,-30.223715595609807,B,15
9,just diatonic,F,C,18.044999134612222,C,15
11,just diatonic,F,D,-25.865002596162498,D,15
14,just diatonic,F,E,31.731285269777526,E,15
0,just diatonic,G,G,0.0,G,15
2,just diatonic,G,A,-22.403712134060324,A,15
5,just diatonic,G,B,13.686286135165219,B,15
6,just diatonic,G,C,-18.044999134612663,C,15
9,just diatonic,G,D,18.044999134612222,D,15
11,just diatonic,G,E,-4.358712999447557,E,15
12,just diatonic,G,F,-36.089998269225,F,15
0,just diatonic,A,A,0.0,A,15
3,just diatonic,A,B,36.089998269225596,B,15
4,just diatonic,A,C,4.35871299944751,C,15
6,just diatonic,A,D,-39.551288731327546,D,15
9,just diatonic,A,E,18.044999134612222,E,15
10,just diatonic,A,F,-13.686286135164918,F,15
13,just diatonic,A,G,22.403712134060225,G,15
0,just diatonic,B,B,0.0,B,15
1,just diatonic,B,C,-31.731285269778017,C,15
4,just diatonic,B,D,4.35871299944751,D,15
6,just diatonic,B,E,-18.044999134612663,E,15
8,just diatonic,B,F,30.223715595610045,F,15
10,just diatonic,B,G,-13.6862861351655,G,15
12,just diatonic,B,A,-36.08999826922539,G#,15
0,just diatonic,C,C,0.0,C,16
3,just diatonic,C,D,21.089998269224942,D,16
5,just diatonic,C,E,-11.313713864835114,E,16
7,just diatonic,C,F,26.955000865387415,F,16
9,just diatonic,C,G,-26.95500086538738,G,16
12,just diatonic,C,A,15.641287000552365,A,16
15,just diatonic,C,B,36.73128526977796,B,16
0,just diatonic,D,D,0.0,D,16
2,just diatonic,D,E,-32.40371213405997,E,16
4,just diatonic,D,F,5.865002596162303,F,16
7,just diatonic,D,G,26.955000865387415,G,16
9,just diatonic,D,A,-5.448711268672572,A,16
12,just diatonic,D,B,15.641287000552746,B,16
13,just diatonic,D,C,-21.08999826922529,C,16
0,just diatonic,E,E,0.0,E,16
1,just diatonic,E,F,-36.731285269777345,F,16
4,just diatonic,E,G,-15.641287000552529,G,16
7,just diatonic,E,A,26.955000865387415,A,16
9,just diatonic,E,B,-26.955000865387184,B,16
11,just diatonic,E,C,11.31371386483479,C,16
14,just diatonic,E,D,32.403712134060164,D,16
0,just diatonic,F,F,0.0,F,16
3,just diatonic,F,G,21.089998269224942,G,16
5,just diatonic,F,A,-11.313713864835309,A,16
8,just diatonic,F,B,9.776284404390458,B,16
9,just diatonic,F,C,-26.955000865387575,C,16
12,just diatonic,F,D,-5.865002596162659,D,16
15,just diatonic,F,E,36.73128526977759,E,16
0,just diatonic,G,G,0.0,G,16
2,just diatonic,G,A,-32.40371213406017,A,16
5,just diatonic,G,B,-11.31371386483492,B,16
7,just diatonic,G,C,26.95500086538704,C,16
9,just diatonic,G,D,-26.95500086538738,D,16
12,just diatonic,G,E,15.641287000552365,E,16
13,just diatonic,G,F,-21.0899982692251,F,16
0,just diatonic,A,A,0.0,A,16
3,just diatonic,A,B,21.089998269225323,B,16
4,just diatonic,A,C,-15.641287000552529,C,16
7,just diatonic,A,D,5.4487112686724934,D,16
9,just diatonic,A,E,-26.95500086538738,E,16
11,just diatonic,A,F,11.313713864835172,F,16
14,just diatonic,A,G,32.403712134060164,G,16
0,just diatonic,B,B,0.0,B,16
1,just diatonic,B,C,-36.731285269777935,C,16
4,just diatonic,B,D,-15.641287000552722,D,16
7,just diatonic,B,E,26.95500086538704,E,16
8,just diatonic,B,F,-9.776284404390282,F,16
11,just diatonic,B,G,11.31371386483479,G,16
13,just diatonic,B,A,-21.08999826922529,A,16
0,just diatonic,C,C,0.0,C,17
3,just diatonic,C,D,7.854704151578286,D,17
5,just diatonic,C,E,-33.37253739424656,E,17
7,just diatonic,C,F,-3.9273520757888494,F,17
10,just diatonic,C,G,3.9273520757892872,G,17
13,just diatonic,C,A,33.288345824081745,A,17
15,just diatonic,C,B,-29.445185318457533,B,17
0,just diatonic,D,D,0.0,D,17
3,just diatonic,D,E,29.360993748293197,E,17
4,just diatonic,D,F,-11.782056227366859,F,17
7,just diatonic,D,G,-3.9273520757888494,G,17
10,just diatonic,D,A,25.43364167250397,A,17
13,just diatonic,D,B,33.28834582408212,B,17
14,just diatonic,D,C,-7.854704151578038,C,17
0,just diatonic,E,E,0.0,E,17
2,just diatonic,E,F,29.44518531845782,F,17
4,just diatonic,E,G,-33.288345824081816,G,17
7,just diatonic,E,A,-3.927352075789042,A,17
10,just diatonic,E,B,3.9273520757892872,B,17
12,just diatonic,E,C,33.37253739424673,C,17
14,just diatonic,E,D,-29.360993748292838,D,17
0,just diatonic,F,F,0.0,F,17
3,just diatonic,F,G,7.854704151577903,G,17
5,just diatonic,F,A,-33.372537394246756,A,17
8,just diatonic,F,B,-25.517833242668626,B,17
10,just diatonic,F,C,3.9273520757889036,C,17
13,just diatonic,F,D,11.78205622736674,D,17
15,just diatonic,F,E,-29.445185318458122,E,17
0,just diatonic,G,G,0.0,G,17
3,just diatonic,G,A,29.36099374829282,A,17
5,just diatonic,G,B,-33.372537394246365,B,17
7,just diatonic,G,C,-3.9273520757888494,C,17
10,just diatonic,G,D,3.9273520757889036,D,17
13,just diatonic,G,E,33.288345824081745,E,17
14,just diatonic,G,F,-7.854704151578038,F,17
0,just diatonic,A,A,0.0,A,17
